termino,coef_log,efecto_pct
num__log_carat,1.1036525367519616,201.51589145049135
cat__cut_Good,0.07828731078602143,8.143332149718475
cat__cut_Very Good,0.11692983673019373,12.404056056258739
cat__cut_Premium,0.1389368865358335,14.90515770895069
cat__cut_Ideal,0.16143524394443926,17.519635461388503
cat__color_I,0.14222894287733873,15.28405529596406
cat__color_H,0.2627441456476042,30.049393934733803
cat__color_G,0.35009029151152277,41.919568413186134
cat__color_F,0.4181454060524025,51.914155071940485
cat__color_E,0.45815798621516796,58.11587846218404
cat__color_D,0.5149563937422503,67.35655222768338
cat__clarity_SI2,0.43563393205292267,54.594277105763275
cat__clarity_SI1,0.6017757709644281,82.53573406518385
cat__clarity_VS2,0.7503881838993329,111.7821961456567
cat__clarity_VS1,0.8198535253621178,127.01672912462847
cat__clarity_VVS2,0.9569932711991544,160.38556040084168
cat__clarity_VVS1,1.0247555722458397,178.64143003324187
cat__clarity_IF,1.1249611872465033,208.0097299540793
