tipo,alfa,r2_cv,r2_cv_std,r2_entreno,coef_no_nulos,coef_total
ridge,0.001,0.9853788345660586,0.00024524863306413393,0.9855307362462098,147,189
ridge,0.0031622776601683794,0.985385984517879,0.00023652284809756217,0.9855203136418761,147,189
ridge,0.01,0.9853871955220255,0.00023002161176686228,0.9855305412369139,147,189
ridge,0.03162277660168379,0.9853843147702286,0.00024683285859416663,0.9855307173212609,147,189
ridge,0.1,0.9853828953033575,0.00024519509675828403,0.985520411926767,147,189
ridge,0.31622776601683794,0.9853756528294862,0.00024114057864194757,0.9855298187269382,147,189
ridge,1.0,0.9853719375003998,0.00024081094719777426,0.9855160177253971,147,189
ridge,3.1622776601683795,0.9853414448781133,0.00023362578769973302,0.9854847589673663,147,189
ridge,10.0,0.9852419977952334,0.00022710422763468692,0.9853990542488603,147,189
ridge,31.622776601683793,0.9848994819548504,0.0002474299965927133,0.9851206390781918,147,189
ridge,100.0,0.98374142400653,0.0002972543202676545,0.9841877967606778,147,189
ridge,316.22776601683796,0.9808524910748913,0.00039630652811711994,0.9816745805203719,147,189
ridge,1000.0,0.9757598239354863,0.0006454987869219253,0.9770897300633983,147,189
ridge,3162.2776601683795,0.9641261005814041,0.0011778073341295217,0.9675990000525825,147,189
ridge,10000.0,0.9241492678107252,0.0020880355564149573,0.9364411253457078,147,189
lasso,1e-05,0.9853872913236742,0.00023543493693049626,0.9855171785795847,139,189
lasso,3.1622776601683795e-05,0.9853085574574315,0.00022479297811890922,0.9854194657233297,121,189
lasso,0.0001,0.9850867128426561,0.00023652855416163795,0.9851927436407804,108,189
lasso,0.00031622776601683794,0.9840368480899195,0.0002606261287522039,0.9841163900462659,80,189
lasso,0.001,0.9806396750076776,0.0002772477765750814,0.9807010900563223,50,189
lasso,0.0031622776601683794,0.9713686868028313,0.0005848317118915007,0.9714534035786744,34,189
lasso,0.01,0.9546585569547588,0.0010261790700084347,0.954718123556493,18,189
lasso,0.03162277660168379,0.9320520445223526,0.0016243730826680381,0.932072176747436,2,189
lasso,0.1,0.9232169177572238,0.001847355963423864,0.9232359644976369,1,189
