max_depth,r2_cv,r2_cv_std,r2_entreno,brecha
1,0.9805494632545297,0.0005724552754860729,0.9808010574595488,0.0002515942050190789
2,0.9880406749478204,0.00048742613859047395,0.9883864628214257,0.0003457878736052855
3,0.9902652366990783,0.000508101123235127,0.9908404066316145,0.0005751699325362569
4,0.9914943476153525,0.0003739154646779896,0.9923789221294125,0.0008845745140599881
6,0.9921493237501486,0.00038360734589180614,0.9937852455625587,0.0016359218124100128
8,0.9922248077442732,0.00040795610997171913,0.9939735199319604,0.0017487121876871292
12,0.9922878284985741,0.00036162621629774196,0.9941151550287989,0.001827326530224771
